"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT21"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-01","151.6","10.69","13.13","8.25",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-02","68.5","12.22","15.08","9.36",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-03","70.7","12.81","16.92","8.71",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-04","69.9","13.06","17.09","9.03",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-05","17.6","14.20","18.16","10.24",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-06","0.0","16.88","21.03","12.73",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-07","0.0","17.20","21.12","13.27",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-08","0.0","17.50","21.81","13.20",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-09","0.3","20.30","25.65","14.94",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-10","21.4","18.37","22.43","14.31",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-11","61.3","12.76","16.88","8.65",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2010-12","152.5","11.17","13.78","8.56",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-01","23.9","10.28","13.74","6.81",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-02","121.6","10.33","14.55","6.11",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-03","144.9","12.05","15.48","8.62",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-04","8.5","13.05","16.80","9.31",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-05","12.0","13.81","17.72","9.91",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-06","37.9","15.84","20.08","11.61",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-07","0.0","17.07","21.47","12.67",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-08","0.0","16.76","20.78","12.74",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-09","0.3","18.14","23.19","13.09",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-10","30.0","17.23","21.81","12.66",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-11","39.5","12.12","15.55","8.69",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2011-12","3.3","9.59","13.73","5.45",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-01","54.8","10.30","14.48","6.12",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-02","16.7","11.24","15.28","7.19",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-03","120.8","11.80","15.54","8.07",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-04","71.0","13.85","17.81","9.88",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-05","0.0","14.67","19.23","10.11",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-06","2.3","16.35","21.06","11.64",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-07","0.0","16.91","21.15","12.67",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-08","0.0","16.47","20.45","12.49",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-09","0.0","15.90","20.16","11.64",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-10","18.0","17.41","21.90","12.93",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-11","103.1","14.51","18.48","10.53",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2012-12","158.5","11.03","14.11","7.95",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-01","5.0","9.25","13.12","5.37",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-02","17.1","10.48","14.72","6.25",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-03","12.4","12.57","16.94","8.21",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-04","12.1","14.70","19.67","9.73",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-05","0.3","15.79","20.20","11.37",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-06","1.3","17.06","21.54","12.58",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-07","0.0","17.13","21.51","12.75",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-08","0.0","18.02","21.98","14.05",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-09","5.8","18.61","23.23","14.00",,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2013-10","0.0","15.99","20.99","11.00",,,,
